epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.718,0.99202,2.79593,1.27124,0.64437,0.59367,0.65318,0.4518,0.96853,1.83181,1.21251,0.000138463,0.000138463,0.000138463
2,337.768,1.04952,1.83753,1.31463,0.6187,0.59183,0.62599,0.41163,1.05375,1.77566,1.27741,0.000266476,0.000266476,0.000266476
3,501.884,1.06612,1.75985,1.3183,0.61593,0.61921,0.62593,0.41093,1.08715,1.75807,1.31326,0.000383479,0.000383479,0.000383479
4,665.703,1.08462,1.68726,1.3302,0.64009,0.61247,0.64775,0.42237,1.12098,1.64608,1.34337,0.00036746,0.00036746,0.00036746
5,831.579,1.04441,1.61632,1.31401,0.65449,0.60899,0.63766,0.42033,1.0713,1.58465,1.3119,0.000350947,0.000350947,0.000350947
6,993.598,1.02517,1.52694,1.29789,0.68128,0.61966,0.65982,0.43875,1.08835,1.53312,1.32297,0.000334434,0.000334434,0.000334434
7,1156.17,1.021,1.47079,1.28791,0.67343,0.62588,0.66633,0.44414,1.08028,1.44746,1.29733,0.000317921,0.000317921,0.000317921
8,1318.57,1.00229,1.38985,1.27667,0.71842,0.63075,0.69574,0.46635,1.06931,1.35921,1.29114,0.000301408,0.000301408,0.000301408
9,1481.08,0.98633,1.3584,1.26539,0.71613,0.64094,0.69776,0.47448,1.03693,1.33641,1.27028,0.000284894,0.000284894,0.000284894
10,1643.26,0.97305,1.29951,1.25007,0.7157,0.65444,0.71464,0.48781,1.04301,1.28409,1.26466,0.000268381,0.000268381,0.000268381
11,1805.34,0.94871,1.25705,1.24281,0.71137,0.66059,0.71118,0.48817,1.03428,1.24577,1.25886,0.000251868,0.000251868,0.000251868
12,1967.05,0.94255,1.24525,1.23339,0.72348,0.65861,0.72016,0.49638,1.03027,1.21707,1.25529,0.000235355,0.000235355,0.000235355
13,2128.22,0.93815,1.18763,1.23105,0.75309,0.64898,0.72793,0.50419,1.04562,1.20111,1.27397,0.000218842,0.000218842,0.000218842
14,2289.8,0.92551,1.16379,1.22521,0.73734,0.67431,0.73996,0.51715,1.01769,1.15,1.2443,0.000202328,0.000202328,0.000202328
15,2455.67,0.90319,1.11933,1.20703,0.73048,0.67157,0.72689,0.50081,1.0252,1.14355,1.24846,0.000185815,0.000185815,0.000185815
16,2621.83,0.87811,1.0769,1.19049,0.70761,0.67345,0.72552,0.49642,1.02673,1.16002,1.26086,0.000169302,0.000169302,0.000169302
17,2784.84,0.86211,0.99559,1.17878,0.733,0.68985,0.74674,0.52654,1.00005,1.11074,1.23763,0.000152789,0.000152789,0.000152789
18,2947.02,0.84203,0.94498,1.161,0.74666,0.67865,0.744,0.524,0.99631,1.10584,1.22954,0.000136276,0.000136276,0.000136276
19,3109.2,0.81242,0.898,1.13946,0.7489,0.7046,0.75752,0.53547,0.98973,1.06233,1.22093,0.000119762,0.000119762,0.000119762
20,3272.23,0.80952,0.87474,1.13736,0.7622,0.70374,0.76175,0.5399,0.99272,1.05765,1.22645,0.000103249,0.000103249,0.000103249
21,3434.53,0.79561,0.83695,1.12029,0.7679,0.70594,0.7662,0.54619,0.98454,1.03135,1.22006,8.6736e-05,8.6736e-05,8.6736e-05
22,3596.94,0.7786,0.81382,1.10984,0.77933,0.70123,0.7727,0.55361,0.97822,1.01575,1.21734,7.02228e-05,7.02228e-05,7.02228e-05
23,3759.54,0.76138,0.78333,1.09898,0.76264,0.722,0.77433,0.55295,0.97438,1.00751,1.21592,5.37096e-05,5.37096e-05,5.37096e-05
24,3922.27,0.74992,0.75645,1.09247,0.77172,0.71681,0.77821,0.55723,0.97575,0.99795,1.22305,3.71964e-05,3.71964e-05,3.71964e-05
25,4084.94,0.74072,0.74053,1.08321,0.78729,0.71185,0.77811,0.55848,0.97261,0.99123,1.21603,2.06832e-05,2.06832e-05,2.06832e-05
