image,label,shape_type,x_min,y_min,x_max,y_max
../frames/frame_00000.jpg,Car,rectangle,215.7,253.5,327.8,378.7
../frames/frame_00000.jpg,Car,rectangle,545.2,180.4,639.1,277.0
../frames/frame_00000.jpg,Car,rectangle,580.9,286.5,683.5,423.0
../frames/frame_00000.jpg,Car,rectangle,398.3,131.7,457.4,210.0
../frames/frame_00000.jpg,Car,rectangle,273.9,69.1,333.9,131.7
../frames/frame_00000.jpg,Car,rectangle,349.6,64.8,396.5,123.0
../frames/frame_00000.jpg,Car,rectangle,354.8,19.6,399.1,52.6
../frames/frame_00000.jpg,Car,rectangle,394.8,3.0,426.1,24.8
../frames/frame_00000.jpg,Car,rectangle,116.5,665.7,256.5,720.0
../frames/frame_00001.jpg,Car,rectangle,223.5,270.0,315.7,380.4
../frames/frame_00001.jpg,Car,rectangle,585.2,283.0,680.0,419.6
../frames/frame_00001.jpg,Car,rectangle,553.0,187.4,640.0,276.1
../frames/frame_00001.jpg,Car,rectangle,395.7,134.3,449.6,204.8
../frames/frame_00001.jpg,Car,rectangle,346.1,66.5,398.3,118.7
../frames/frame_00001.jpg,Car,rectangle,282.6,73.5,332.2,127.4
../frames/frame_00001.jpg,Car,rectangle,362.6,23.0,398.3,50.9
../frames/frame_00001.jpg,Car,rectangle,394.8,3.0,427.8,28.3
../frames/frame_00002.jpg,Car,rectangle,215.7,275.2,310.4,391.7
../frames/frame_00002.jpg,Car,rectangle,592.2,285.7,680.0,418.7
../frames/frame_00002.jpg,Car,rectangle,546.1,186.5,629.6,277.8
../frames/frame_00002.jpg,Car,rectangle,395.7,147.4,454.8,218.7
../frames/frame_00002.jpg,Car,rectangle,347.0,68.3,399.1,131.7
../frames/frame_00002.jpg,Car,rectangle,279.1,71.7,330.4,126.5
../frames/frame_00002.jpg,Car,rectangle,361.7,23.0,399.1,56.1
../frames/frame_00002.jpg,Car,rectangle,399.6,-0.0,427.8,27.4
../frames/frame_00003.jpg,Car,rectangle,200.0,277.0,313.0,398.7
../frames/frame_00003.jpg,Car,rectangle,591.3,286.5,685.2,413.5
../frames/frame_00003.jpg,Car,rectangle,554.8,190.9,637.4,273.5
../frames/frame_00003.jpg,Car,rectangle,394.8,143.0,451.3,217.8
../frames/frame_00003.jpg,Car,rectangle,346.1,72.6,397.4,127.4
../frames/frame_00003.jpg,Car,rectangle,282.6,73.5,328.7,128.3
../frames/frame_00003.jpg,Car,rectangle,359.1,20.4,397.4,58.7
../frames/frame_00003.jpg,Car,rectangle,391.3,0.0,431.3,31.7
